County,FileNumber,Measure Names,ProviderName,Measure Values
ESCAMBIA,100025,Total Staffed Bed Capacity,ASCENSION SACRED HEART PENSACOLA,558
ESCAMBIA,100093,Bed Census,BAPTIST HOSPITAL,332
ESCAMBIA,100093,Available,BAPTIST HOSPITAL,72
ESCAMBIA,100093,Available Capacity,BAPTIST HOSPITAL,0.178217822
ESCAMBIA,100093,Total Staffed Bed Capacity,BAPTIST HOSPITAL,404
ESCAMBIA,100231,Bed Census,WEST FLORIDA HOSPITAL,296
ESCAMBIA,100231,Available,WEST FLORIDA HOSPITAL,117
ESCAMBIA,100231,Available Capacity,WEST FLORIDA HOSPITAL,0.283292978
ESCAMBIA,100231,Total Staffed Bed Capacity,WEST FLORIDA HOSPITAL,413
ESCAMBIA,23960076,Bed Census,SELECT SPECIALTY HOSPITAL PENSACOLA,63
ESCAMBIA,23960076,Available,SELECT SPECIALTY HOSPITAL PENSACOLA,12
ESCAMBIA,23960076,Available Capacity,SELECT SPECIALTY HOSPITAL PENSACOLA,0.16
ESCAMBIA,23960076,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL PENSACOLA,75
FLAGLER,100118,Bed Census,ADVENTHEALTH PALM COAST,91
FLAGLER,100118,Available,ADVENTHEALTH PALM COAST,8
FLAGLER,100118,Available Capacity,ADVENTHEALTH PALM COAST,0.080808081
FLAGLER,100118,Total Staffed Bed Capacity,ADVENTHEALTH PALM COAST,99
FRANKLIN,100153,Bed Census,GEORGE E WEEMS MEMORIAL HOSPITAL,2
FRANKLIN,100153,Available,GEORGE E WEEMS MEMORIAL HOSPITAL,13
FRANKLIN,100153,Available Capacity,GEORGE E WEEMS MEMORIAL HOSPITAL,0.866666667
FRANKLIN,100153,Total Staffed Bed Capacity,GEORGE E WEEMS MEMORIAL HOSPITAL,15
GADSDEN,100159,Bed Census,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",0
GADSDEN,100159,Available,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",0
GADSDEN,100159,Available Capacity,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",
GADSDEN,100159,Total Staffed Bed Capacity,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",0
GADSDEN,104000,Bed Census,FLORIDA STATE HOSPITAL,0
GADSDEN,104000,Available,FLORIDA STATE HOSPITAL,0
GADSDEN,104000,Available Capacity,FLORIDA STATE HOSPITAL,
GADSDEN,104000,Total Staffed Bed Capacity,FLORIDA STATE HOSPITAL,0
GULF,23960084,Bed Census,ASCENSION SACRED HEART GULF,9
GULF,23960084,Available,ASCENSION SACRED HEART GULF,12
GULF,23960084,Available Capacity,ASCENSION SACRED HEART GULF,0.571428571
GULF,23960084,Total Staffed Bed Capacity,ASCENSION SACRED HEART GULF,21
HARDEE,100282,Bed Census,ADVENTHEALTH WAUCHULA,24
HARDEE,100282,Available,ADVENTHEALTH WAUCHULA,1
HARDEE,100282,Available Capacity,ADVENTHEALTH WAUCHULA,0.04
HARDEE,100282,Total Staffed Bed Capacity,ADVENTHEALTH WAUCHULA,25
HENDRY,100098,Bed Census,HENDRY REGIONAL MEDICAL CENTER,17
HENDRY,100098,Available,HENDRY REGIONAL MEDICAL CENTER,12
HENDRY,100098,Available Capacity,HENDRY REGIONAL MEDICAL CENTER,0.413793103
HENDRY,100098,Total Staffed Bed Capacity,HENDRY REGIONAL MEDICAL CENTER,29
HERNANDO,100071,Bed Census,BAYFRONT HEALTH BROOKSVILLE,78
HERNANDO,100071,Available,BAYFRONT HEALTH BROOKSVILLE,32
HERNANDO,100071,Available Capacity,BAYFRONT HEALTH BROOKSVILLE,0.290909091
HERNANDO,100071,Total Staffed Bed Capacity,BAYFRONT HEALTH BROOKSVILLE,110
HERNANDO,100264,Bed Census,OAK HILL HOSPITAL,269
HERNANDO,100264,Available,OAK HILL HOSPITAL,81
HERNANDO,100264,Available Capacity,OAK HILL HOSPITAL,0.231428571
HERNANDO,100264,Total Staffed Bed Capacity,OAK HILL HOSPITAL,350
HERNANDO,110054,Bed Census,SPRINGBROOK HOSPITAL,66
HERNANDO,110054,Available,SPRINGBROOK HOSPITAL,0
HERNANDO,110054,Available Capacity,SPRINGBROOK HOSPITAL,0
HERNANDO,110054,Total Staffed Bed Capacity,SPRINGBROOK HOSPITAL,66
HERNANDO,111525,Bed Census,BAYFRONT HEALTH SPRING HILL,63
HERNANDO,111525,Available,BAYFRONT HEALTH SPRING HILL,61
HERNANDO,111525,Available Capacity,BAYFRONT HEALTH SPRING HILL,0.491935484
HERNANDO,111525,Total Staffed Bed Capacity,BAYFRONT HEALTH SPRING HILL,124
HERNANDO,23960042,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,55
HERNANDO,23960042,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,25
HERNANDO,23960042,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,0.3125
HERNANDO,23960042,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,80
HIGHLANDS,100049,Bed Census,HIGHLANDS REGIONAL MEDICAL CENTER,37
HIGHLANDS,100049,Available,HIGHLANDS REGIONAL MEDICAL CENTER,27
HIGHLANDS,100049,Available Capacity,HIGHLANDS REGIONAL MEDICAL CENTER,0.421875
HIGHLANDS,100049,Total Staffed Bed Capacity,HIGHLANDS REGIONAL MEDICAL CENTER,64
HIGHLANDS,100109,Bed Census,ADVENTHEALTH SEBRING,151
HIGHLANDS,100109,Available,ADVENTHEALTH SEBRING,20
HIGHLANDS,100109,Available Capacity,ADVENTHEALTH SEBRING,0.116959064
HIGHLANDS,100109,Total Staffed Bed Capacity,ADVENTHEALTH SEBRING,171
HIGHLANDS,120013,Bed Census,ADVENTHEALTH LAKE PLACID,19
HIGHLANDS,120013,Available,ADVENTHEALTH LAKE PLACID,10
HIGHLANDS,120013,Available Capacity,ADVENTHEALTH LAKE PLACID,0.344827586
HIGHLANDS,120013,Total Staffed Bed Capacity,ADVENTHEALTH LAKE PLACID,29
HILLSBOROUGH,100069,Bed Census,ADVENTHEALTH CARROLLWOOD,92
HILLSBOROUGH,100069,Available,ADVENTHEALTH CARROLLWOOD,3
HILLSBOROUGH,100069,Available Capacity,ADVENTHEALTH CARROLLWOOD,0.031578947
HILLSBOROUGH,100069,Total Staffed Bed Capacity,ADVENTHEALTH CARROLLWOOD,95
HILLSBOROUGH,100075,Bed Census,ST JOSEPHS HOSPITAL,558
HILLSBOROUGH,100075,Available,ST JOSEPHS HOSPITAL,74
HILLSBOROUGH,100075,Available Capacity,ST JOSEPHS HOSPITAL,0.117088608
HILLSBOROUGH,100075,Total Staffed Bed Capacity,ST JOSEPHS HOSPITAL,632
HILLSBOROUGH,100115,Bed Census,KINDRED HOSPITAL-BAY AREA-TAMPA,58
HILLSBOROUGH,100115,Available,KINDRED HOSPITAL-BAY AREA-TAMPA,15
HILLSBOROUGH,100115,Available Capacity,KINDRED HOSPITAL-BAY AREA-TAMPA,0.205479452
HILLSBOROUGH,100115,Total Staffed Bed Capacity,KINDRED HOSPITAL-BAY AREA-TAMPA,73
HILLSBOROUGH,100128,Bed Census,TAMPA GENERAL HOSPITAL,801
HILLSBOROUGH,100128,Available,TAMPA GENERAL HOSPITAL,171
HILLSBOROUGH,100128,Available Capacity,TAMPA GENERAL HOSPITAL,0.175925926
HILLSBOROUGH,100128,Total Staffed Bed Capacity,TAMPA GENERAL HOSPITAL,972
HILLSBOROUGH,100132,Bed Census,SOUTH FLORIDA BAPTIST HOSPITAL,91
HILLSBOROUGH,100132,Available,SOUTH FLORIDA BAPTIST HOSPITAL,4
HILLSBOROUGH,100132,Available Capacity,SOUTH FLORIDA BAPTIST HOSPITAL,0.042105263
HILLSBOROUGH,100132,Total Staffed Bed Capacity,SOUTH FLORIDA BAPTIST HOSPITAL,95
HILLSBOROUGH,100143,Bed Census,KINDRED HOSPITAL-CENTRAL TAMPA,61
HILLSBOROUGH,100143,Available,KINDRED HOSPITAL-CENTRAL TAMPA,33
HILLSBOROUGH,100143,Available Capacity,KINDRED HOSPITAL-CENTRAL TAMPA,0.351063830
HILLSBOROUGH,100143,Total Staffed Bed Capacity,KINDRED HOSPITAL-CENTRAL TAMPA,94
HILLSBOROUGH,100173,Bed Census,ADVENTHEALTH TAMPA,448
HILLSBOROUGH,100173,Available,ADVENTHEALTH TAMPA,88
HILLSBOROUGH,100173,Available Capacity,ADVENTHEALTH TAMPA,0.164179104
HILLSBOROUGH,100173,Total Staffed Bed Capacity,ADVENTHEALTH TAMPA,536
HILLSBOROUGH,100206,Bed Census,MEMORIAL HOSPITAL OF TAMPA,91
HILLSBOROUGH,100206,Available,MEMORIAL HOSPITAL OF TAMPA,9
HILLSBOROUGH,100206,Available Capacity,MEMORIAL HOSPITAL OF TAMPA,0.09
HILLSBOROUGH,100206,Total Staffed Bed Capacity,MEMORIAL HOSPITAL OF TAMPA,100
HILLSBOROUGH,100243,Bed Census,BRANDON REGIONAL HOSPITAL,404
HILLSBOROUGH,100243,Available,BRANDON REGIONAL HOSPITAL,101
HILLSBOROUGH,100243,Available Capacity,BRANDON REGIONAL HOSPITAL,0.2
HILLSBOROUGH,100243,Total Staffed Bed Capacity,BRANDON REGIONAL HOSPITAL,505
HILLSBOROUGH,100255,Bed Census,TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA,33
HILLSBOROUGH,100255,Available,TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA,12
HILLSBOROUGH,100255,Available Capacity,TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA,0.266666667
HILLSBOROUGH,100255,Total Staffed Bed Capacity,TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA,45
HILLSBOROUGH,100259,Bed Census,SOUTH BAY HOSPITAL,74
HILLSBOROUGH,100259,Available,SOUTH BAY HOSPITAL,0
HILLSBOROUGH,100259,Available Capacity,SOUTH BAY HOSPITAL,0
HILLSBOROUGH,100259,Total Staffed Bed Capacity,SOUTH BAY HOSPITAL,74
HILLSBOROUGH,110009,Bed Census,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL,218
HILLSBOROUGH,110009,Available,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL,32
HILLSBOROUGH,110009,Available Capacity,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL,0.128
HILLSBOROUGH,110009,Total Staffed Bed Capacity,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL,250
HILLSBOROUGH,23960100,Bed Census,ST JOSEPHS HOSPITAL NORTH,87
HILLSBOROUGH,23960100,Available,ST JOSEPHS HOSPITAL NORTH,17
HILLSBOROUGH,23960100,Available Capacity,ST JOSEPHS HOSPITAL NORTH,0.163461538
HILLSBOROUGH,23960100,Total Staffed Bed Capacity,ST JOSEPHS HOSPITAL NORTH,104
HILLSBOROUGH,23960105,Bed Census,ST JOSEPHS HOSPITAL SOUTH,132
HILLSBOROUGH,23960105,Available,ST JOSEPHS HOSPITAL SOUTH,9
HILLSBOROUGH,23960105,Available Capacity,ST JOSEPHS HOSPITAL SOUTH,0.063829787
HILLSBOROUGH,23960105,Total Staffed Bed Capacity,ST JOSEPHS HOSPITAL SOUTH,141
HILLSBOROUGH,23960113,Bed Census,ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,59
HILLSBOROUGH,23960113,Available,ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,1
HILLSBOROUGH,23960113,Available Capacity,ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,0.016666667
HILLSBOROUGH,23960113,Total Staffed Bed Capacity,ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,60
HOLMES,100078,Bed Census,DOCTORS MEMORIAL HOSPITAL,4
HOLMES,100078,Available,DOCTORS MEMORIAL HOSPITAL,14
HOLMES,100078,Available Capacity,DOCTORS MEMORIAL HOSPITAL,0.777777778
HOLMES,100078,Total Staffed Bed Capacity,DOCTORS MEMORIAL HOSPITAL,18
INDIAN RIVER,100105,Bed Census,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,210
INDIAN RIVER,100105,Available,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,101
INDIAN RIVER,100105,Available Capacity,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,0.324758842
INDIAN RIVER,100105,Total Staffed Bed Capacity,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,311
INDIAN RIVER,100217,Bed Census,STEWARD SEBASTIAN RIVER MEDICAL CENTER,76
INDIAN RIVER,100217,Available,STEWARD SEBASTIAN RIVER MEDICAL CENTER,10
INDIAN RIVER,100217,Available Capacity,STEWARD SEBASTIAN RIVER MEDICAL CENTER,0.116279070
INDIAN RIVER,100217,Total Staffed Bed Capacity,STEWARD SEBASTIAN RIVER MEDICAL CENTER,86
INDIAN RIVER,110017,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST,53
INDIAN RIVER,110017,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST,12
INDIAN RIVER,110017,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST,0.184615385
INDIAN RIVER,110017,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST,65
JACKSON,100138,Bed Census,CAMPBELLTON-GRACEVILLE HOSPITAL,0
JACKSON,100138,Available,CAMPBELLTON-GRACEVILLE HOSPITAL,0
JACKSON,100138,Available Capacity,CAMPBELLTON-GRACEVILLE HOSPITAL,
JACKSON,100138,Total Staffed Bed Capacity,CAMPBELLTON-GRACEVILLE HOSPITAL,0
JACKSON,100142,Bed Census,JACKSON HOSPITAL,42
JACKSON,100142,Available,JACKSON HOSPITAL,59
JACKSON,100142,Available Capacity,JACKSON HOSPITAL,0.584158416
JACKSON,100142,Total Staffed Bed Capacity,JACKSON HOSPITAL,101
LAKE,100051,Bed Census,ORLANDO HEALTH SOUTH LAKE HOSPITAL,186
LAKE,100051,Available,ORLANDO HEALTH SOUTH LAKE HOSPITAL,15
LAKE,100051,Available Capacity,ORLANDO HEALTH SOUTH LAKE HOSPITAL,0.074626866
LAKE,100051,Total Staffed Bed Capacity,ORLANDO HEALTH SOUTH LAKE HOSPITAL,201
LAKE,100057,Bed Census,ADVENTHEALTH WATERMAN,239
LAKE,100057,Available,ADVENTHEALTH WATERMAN,61
LAKE,100057,Available Capacity,ADVENTHEALTH WATERMAN,0.203333333
LAKE,100057,Total Staffed Bed Capacity,ADVENTHEALTH WATERMAN,300
LAKE,100084,Bed Census,UF HEALTH LEESBURG HOSPITAL,250
LAKE,100084,Available,UF HEALTH LEESBURG HOSPITAL,82
LAKE,100084,Available Capacity,UF HEALTH LEESBURG HOSPITAL,0.246987952
LAKE,100084,Total Staffed Bed Capacity,UF HEALTH LEESBURG HOSPITAL,332
LAKE,100214,Bed Census,UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER,7
LAKE,100214,Available,UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER,14
LAKE,100214,Available Capacity,UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER,0.666666667
LAKE,100214,Total Staffed Bed Capacity,UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER,21
LAKE,104018,Bed Census,LIFESTREAM BEHAVIORAL CENTER,42
LAKE,104018,Available,LIFESTREAM BEHAVIORAL CENTER,4
LAKE,104018,Available Capacity,LIFESTREAM BEHAVIORAL CENTER,0.086956522
LAKE,104018,Total Staffed Bed Capacity,LIFESTREAM BEHAVIORAL CENTER,46
LEE,100012,Bed Census,LEE MEMORIAL HOSPITAL,295
LEE,100012,Available,LEE MEMORIAL HOSPITAL,55
LEE,100012,Available Capacity,LEE MEMORIAL HOSPITAL,0.157142857
LEE,100012,Total Staffed Bed Capacity,LEE MEMORIAL HOSPITAL,350
LEE,100107,Bed Census,LEHIGH REGIONAL MEDICAL CENTER,46
LEE,100107,Available,LEHIGH REGIONAL MEDICAL CENTER,2
LEE,100107,Available Capacity,LEHIGH REGIONAL MEDICAL CENTER,0.041666667
LEE,100107,Total Staffed Bed Capacity,LEHIGH REGIONAL MEDICAL CENTER,48
LEE,100220,Bed Census,GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM,418
LEE,100220,Available,GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM,43
LEE,100220,Available Capacity,GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM,0.093275488
LEE,100220,Total Staffed Bed Capacity,GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM,461
LEE,100244,Bed Census,CAPE CORAL HOSPITAL,253
LEE,100244,Available,CAPE CORAL HOSPITAL,34
LEE,100244,Available Capacity,CAPE CORAL HOSPITAL,0.118466899
LEE,100244,Total Staffed Bed Capacity,CAPE CORAL HOSPITAL,287
LEE,120005,Bed Census,HEALTHPARK MEDICAL CENTER,333
LEE,120005,Available,HEALTHPARK MEDICAL CENTER,110
LEE,120005,Available Capacity,HEALTHPARK MEDICAL CENTER,0.248306998
LEE,120005,Total Staffed Bed Capacity,HEALTHPARK MEDICAL CENTER,443
LEE,23960103,Bed Census,PARK ROYAL HOSPITAL,87
LEE,23960103,Available,PARK ROYAL HOSPITAL,27
LEE,23960103,Available Capacity,PARK ROYAL HOSPITAL,0.236842105
LEE,23960103,Total Staffed Bed Capacity,PARK ROYAL HOSPITAL,114
LEE,23960107,Bed Census,SELECT SPECIALTY HOSPITAL-FORT MYERS,50
LEE,23960107,Available,SELECT SPECIALTY HOSPITAL-FORT MYERS,10
LEE,23960107,Available Capacity,SELECT SPECIALTY HOSPITAL-FORT MYERS,0.166666667
LEE,23960107,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL-FORT MYERS,60
LEON,100135,Bed Census,TALLAHASSEE MEMORIAL HOSPITAL,407
LEON,100135,Available,TALLAHASSEE MEMORIAL HOSPITAL,51
LEON,100135,Available Capacity,TALLAHASSEE MEMORIAL HOSPITAL,0.111353712
LEON,100135,Total Staffed Bed Capacity,TALLAHASSEE MEMORIAL HOSPITAL,458
LEON,100254,Bed Census,CAPITAL REGIONAL MEDICAL CENTER,213
LEON,100254,Available,CAPITAL REGIONAL MEDICAL CENTER,47
LEON,100254,Available Capacity,CAPITAL REGIONAL MEDICAL CENTER,0.180769231
LEON,100254,Total Staffed Bed Capacity,CAPITAL REGIONAL MEDICAL CENTER,260
LEON,110021,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE,45
LEON,110021,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE,10
LEON,110021,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE,0.181818182
LEON,110021,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE,55
LEON,110044,Bed Census,EASTSIDE PSYCHIATRIC HOSPITAL,18
LEON,110044,Available,EASTSIDE PSYCHIATRIC HOSPITAL,14
LEON,110044,Available Capacity,EASTSIDE PSYCHIATRIC HOSPITAL,0.4375
LEON,110044,Total Staffed Bed Capacity,EASTSIDE PSYCHIATRIC HOSPITAL,32
LEON,23960059,Bed Census,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,33
LEON,23960059,Available,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,15
LEON,23960059,Available Capacity,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,0.3125
LEON,23960059,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,48
MADISON,100004,Bed Census,MADISON COUNTY MEMORIAL HOSPITAL,8
MADISON,100004,Available,MADISON COUNTY MEMORIAL HOSPITAL,7
MADISON,100004,Available Capacity,MADISON COUNTY MEMORIAL HOSPITAL,0.466666667
MADISON,100004,Total Staffed Bed Capacity,MADISON COUNTY MEMORIAL HOSPITAL,15
MANATEE,100035,Bed Census,MANATEE MEMORIAL HOSPITAL,269
MANATEE,100035,Available,MANATEE MEMORIAL HOSPITAL,24
MANATEE,100035,Available Capacity,MANATEE MEMORIAL HOSPITAL,0.081911263
MANATEE,100035,Total Staffed Bed Capacity,MANATEE MEMORIAL HOSPITAL,293
MANATEE,100213,Bed Census,BLAKE MEDICAL CENTER,244
MANATEE,100213,Available,BLAKE MEDICAL CENTER,36
MANATEE,100213,Available Capacity,BLAKE MEDICAL CENTER,0.128571429
MANATEE,100213,Total Staffed Bed Capacity,BLAKE MEDICAL CENTER,280
MANATEE,110028,Bed Census,CENTERSTONE OF FLORIDA,30
MANATEE,110028,Available,CENTERSTONE OF FLORIDA,8
MANATEE,110028,Available Capacity,CENTERSTONE OF FLORIDA,0.210526316
MANATEE,110028,Total Staffed Bed Capacity,CENTERSTONE OF FLORIDA,38
MANATEE,110049,Bed Census,SUNCOAST BEHAVIORAL HEALTH CENTER,35
MANATEE,110049,Available,SUNCOAST BEHAVIORAL HEALTH CENTER,25
MANATEE,110049,Available Capacity,SUNCOAST BEHAVIORAL HEALTH CENTER,0.416666667
MANATEE,110049,Total Staffed Bed Capacity,SUNCOAST BEHAVIORAL HEALTH CENTER,60
MANATEE,23960046,Bed Census,LAKEWOOD RANCH MEDICAL CENTER,90
MANATEE,23960046,Available,LAKEWOOD RANCH MEDICAL CENTER,18
MANATEE,23960046,Available Capacity,LAKEWOOD RANCH MEDICAL CENTER,0.166666667
MANATEE,23960046,Total Staffed Bed Capacity,LAKEWOOD RANCH MEDICAL CENTER,108
MARION,100062,Bed Census,ADVENTHEALTH OCALA,260
MARION,100062,Available,ADVENTHEALTH OCALA,19
MARION,100062,Available Capacity,ADVENTHEALTH OCALA,0.068100358
MARION,100062,Total Staffed Bed Capacity,ADVENTHEALTH OCALA,279
MARION,100212,Bed Census,OCALA REGIONAL MEDICAL CENTER,223
MARION,100212,Available,OCALA REGIONAL MEDICAL CENTER,33
MARION,100212,Available Capacity,OCALA REGIONAL MEDICAL CENTER,0.12890625
MARION,100212,Total Staffed Bed Capacity,OCALA REGIONAL MEDICAL CENTER,256
MARION,23960039,Bed Census,WEST MARION COMMUNITY HOSPITAL,156
MARION,23960039,Available,WEST MARION COMMUNITY HOSPITAL,30
MARION,23960039,Available Capacity,WEST MARION COMMUNITY HOSPITAL,0.161290323
MARION,23960039,Total Staffed Bed Capacity,WEST MARION COMMUNITY HOSPITAL,186
MARION,23960060,Bed Census,KINDRED HOSPITAL OCALA,17
MARION,23960060,Available,KINDRED HOSPITAL OCALA,0
MARION,23960060,Available Capacity,KINDRED HOSPITAL OCALA,0
MARION,23960060,Total Staffed Bed Capacity,KINDRED HOSPITAL OCALA,17
MARION,23960073,Bed Census,THE VINES HOSPITAL,54
MARION,23960073,Available,THE VINES HOSPITAL,44
MARION,23960073,Available Capacity,THE VINES HOSPITAL,0.448979592
MARION,23960073,Total Staffed Bed Capacity,THE VINES HOSPITAL,98
MARION,23960109,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,48
MARION,23960109,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,22
MARION,23960109,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,0.314285714
MARION,23960109,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,70
MARTIN,100044,Bed Census,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,102
MARTIN,100044,Available,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,144
MARTIN,100044,Available Capacity,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,0.585365854
MARTIN,100044,Total Staffed Bed Capacity,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,246
MARTIN,120009,Bed Census,CLEVELAND CLINIC MARTIN SOUTH HOSPITAL,43
MARTIN,120009,Available,CLEVELAND CLINIC MARTIN SOUTH HOSPITAL,57
MARTIN,120009,Available Capacity,CLEVELAND CLINIC MARTIN SOUTH HOSPITAL,0.57
MARTIN,120009,Total Staffed Bed Capacity,CLEVELAND CLINIC MARTIN SOUTH HOSPITAL,100
MARTIN,23960112,Bed Census,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,64
MARTIN,23960112,Available,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,0
MARTIN,23960112,Available Capacity,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,0
MARTIN,23960112,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,64
MARTIN,23960125,Bed Census,CORAL SHORES BEHAVIORAL HEALTH,30
MARTIN,23960125,Available,CORAL SHORES BEHAVIORAL HEALTH,50
MARTIN,23960125,Available Capacity,CORAL SHORES BEHAVIORAL HEALTH,0.625
MARTIN,23960125,Total Staffed Bed Capacity,CORAL SHORES BEHAVIORAL HEALTH,80
MIAMI-DADE,100008,Bed Census,BAPTIST HOSPITAL OF MIAMI,655
MIAMI-DADE,100008,Available,BAPTIST HOSPITAL OF MIAMI,122
MIAMI-DADE,100008,Available Capacity,BAPTIST HOSPITAL OF MIAMI,0.157014157
MIAMI-DADE,100008,Total Staffed Bed Capacity,BAPTIST HOSPITAL OF MIAMI,777
MIAMI-DADE,100009,Bed Census,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-UHEALTH TOWER,347
MIAMI-DADE,100009,Available,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-UHEALTH TOWER,46
MIAMI-DADE,100009,Available Capacity,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-UHEALTH TOWER,0.117048346
MIAMI-DADE,100009,Total Staffed Bed Capacity,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-UHEALTH TOWER,393
MIAMI-DADE,100020,Bed Census,DOCTORS HOSPITAL,111
MIAMI-DADE,100020,Available,DOCTORS HOSPITAL,22
MIAMI-DADE,100020,Available Capacity,DOCTORS HOSPITAL,0.165413534
MIAMI-DADE,100020,Total Staffed Bed Capacity,DOCTORS HOSPITAL,133
MIAMI-DADE,100022,Bed Census,JACKSON MEMORIAL HOSPITAL,"1,343"
MIAMI-DADE,100022,Available,JACKSON MEMORIAL HOSPITAL,322
MIAMI-DADE,100022,Available Capacity,JACKSON MEMORIAL HOSPITAL,0.193393393
MIAMI-DADE,100022,Total Staffed Bed Capacity,JACKSON MEMORIAL HOSPITAL,"1,665"
MIAMI-DADE,100029,Bed Census,NORTH SHORE MEDICAL CENTER,241
MIAMI-DADE,100029,Available,NORTH SHORE MEDICAL CENTER,65
MIAMI-DADE,100029,Available Capacity,NORTH SHORE MEDICAL CENTER,0.212418301
MIAMI-DADE,100029,Total Staffed Bed Capacity,NORTH SHORE MEDICAL CENTER,306
MIAMI-DADE,100034,Bed Census,MOUNT SINAI MEDICAL CENTER,465
MIAMI-DADE,100034,Available,MOUNT SINAI MEDICAL CENTER,86
MIAMI-DADE,100034,Available Capacity,MOUNT SINAI MEDICAL CENTER,0.156079855
MIAMI-DADE,100034,Total Staffed Bed Capacity,MOUNT SINAI MEDICAL CENTER,551
